interseccion,via_a,via_b,latitud,longitud
"Calle 13 | Carrera 47A","Calle 13","Carrera 47A","3.4116122","-76.5334815"
"Calle 13 | Carrera 48","Calle 13","Carrera 48","3.4111777","-76.5336229"
"Calle 13 | Carrera 48 Bis","Calle 13","Carrera 48 Bis","3.4109025","-76.5338592"
"Calle 13 | Carrera 48A","Calle 13","Carrera 48A","3.4105383","-76.5338309"
"Calle 13 | Carrera 49","Calle 13","Carrera 49","3.4100086","-76.5340032"
"Calle 13 | Carrera 49A","Calle 13","Carrera 49A","3.4094669","-76.5341794"
"Calle 13 | Carrera 49B","Calle 13","Carrera 49B","3.4094406","-76.5343387"
"Calle 13 | Carrera 50","Calle 13","Carrera 50","3.4089824","-76.5343323"
"Calle 13 | Carrera 53","Calle 13","Carrera 53","3.4069182","-76.5349754"
"Calle 13 | Carrera 55","Calle 13","Carrera 55","3.4061145","-76.5354407"
"Calle 13 | Carrera 56","Calle 13","Carrera 56","3.4052395","-76.5354979"
"Calle 13 | Carrera 57","Calle 13","Carrera 57","3.4042923","-76.5358097"
"Calle 13 | Carrera 57A","Calle 13","Carrera 57A","3.4037609","-76.5359812"
"Calle 13 | Carrera 58","Calle 13","Carrera 58","3.4032173","-76.5361496"
"Calle 13 | Carrera 59","Calle 13","Carrera 59","3.4028015","-76.5365036"
"Calle 13 | Carrera 5B","Calle 13","Carrera 5B","3.3985636","-76.391391"
"Calle 13 | Carrera 6","Calle 13","Carrera 6","3.4511964","-76.530986"
"Calle 13 | Carrera 64","Calle 13","Carrera 64","3.4021073","-76.5365194"
"Calle 13 | Carrera 64A","Calle 13","Carrera 64A","3.4013374","-76.5369833"
"Calle 13 | Carrera 65","Calle 13","Carrera 65","3.4006577","-76.5369823"
"Calle 13 | Carrera 65A","Calle 13","Carrera 65A","3.4000886","-76.5373924"
"Calle 13 | Carrera 65B","Calle 13","Carrera 65B","3.3994586","-76.5375988"
"Calle 13 | Carrera 65C","Calle 13","Carrera 65C","3.3987256","-76.5378389"
"Calle 13 | Carrera 66","Calle 13","Carrera 66","3.3980482","-76.5377946"
"Calle 13 | Carrera 66A","Calle 13","Carrera 66A","3.3974979","-76.5380816"
"Calle 13 | Carrera 66B","Calle 13","Carrera 66B","3.3969823","-76.5379167"
"Calle 13 | Carrera 67","Calle 13","Carrera 67","3.3969102","-76.5381234"
"Calle 13 | Carrera 68","Calle 13","Carrera 68","3.3958904","-76.5380111"
"Calle 13 | Carrera 7","Calle 13","Carrera 7","3.450357","-76.5307398"
"Calle 13 | Carrera 70","Calle 13","Carrera 70","3.3935515","-76.5383718"
"Calle 13 | Carrera 72","Calle 13","Carrera 72","3.3921335","-76.53828"
"Calle 13 | Carrera 73","Calle 13","Carrera 73","3.3913414","-76.5384989"
"Calle 13 | Carrera 75","Calle 13","Carrera 75","3.3900227","-76.5386068"
"Calle 13 | Carrera 77","Calle 13","Carrera 77","3.3887235","-76.5384757"
"Calle 13 | Carrera 78","Calle 13","Carrera 78","3.388531","-76.538701"
"Calle 13 | Carrera 8","Calle 13","Carrera 8","3.4494037","-76.530449"
"Calle 13 | Carrera 82","Calle 13","Carrera 82","3.3848708","-76.5385506"
"Calle 13 | Carrera 83","Calle 13","Carrera 83","3.3824551","-76.5381964"
"Calle 13 | Carrera 85","Calle 13","Carrera 85","3.380126","-76.5378385"
"Calle 13 | Carrera 86","Calle 13","Carrera 86","3.3794573","-76.5375602"
"Calle 13 | Carrera 87","Calle 13","Carrera 87","3.3786993","-76.5376148"
"Calle 13 | Carrera 89","Calle 13","Carrera 89","3.3773208","-76.5374789"
"Calle 13 | Carrera 9","Calle 13","Carrera 9","3.4025165","-76.4181951"
"Calle 13 | Diagonal 23","Calle 13","Diagonal 23","3.4321347","-76.5275766"
"Calle 13 bis | Carrera 66B","Calle 13 bis","Carrera 66B","3.3970206","-76.5373508"
"Calle 13 bis | Carrera 68","Calle 13 bis","Carrera 68","3.3959258","-76.5374595"
"Calle 13 Oeste | Carrera 1","Calle 13 Oeste","Carrera 1","3.4501409","-76.554392"
"Calle 13 Oeste | Carrera 2","Calle 13 Oeste","Carrera 2","3.4495989","-76.5540837"
"Calle 13 Oeste | Carrera 2 Bis","Calle 13 Oeste","Carrera 2 Bis","3.4492505","-76.5538723"
"Calle 13 Oeste | Carrera 3 Oeste","Calle 13 Oeste","Carrera 3 Oeste","3.4460582","-76.5531807"
"Calle 13 Oeste | Carrera 3B","Calle 13 Oeste","Carrera 3B","3.4455905","-76.5530537"
"Calle 13 Oeste | Carrera 4 Oeste","Calle 13 Oeste","Carrera 4 Oeste","3.4451929","-76.5529402"
"Calle 13 Oeste | Carrera 42B","Calle 13 Oeste","Carrera 42B","3.4238671","-76.5609806"
"Calle 13 Oeste | Carrera 46","Calle 13 Oeste","Carrera 46","3.4232338","-76.5610983"
"Calle 13 Oeste | Carrera 48","Calle 13 Oeste","Carrera 48","3.4224111","-76.5611823"
"Calle 13 Oeste | Carrera 49A","Calle 13 Oeste","Carrera 49A","3.421783","-76.5613924"
"Calle 13 Oeste | Carrera 49B","Calle 13 Oeste","Carrera 49B","3.421496","-76.5614942"
"Calle 13 Oeste | Carrera 49C","Calle 13 Oeste","Carrera 49C","3.4210714","-76.5616221"
"Calle 13 Oeste | Carrera 49D","Calle 13 Oeste","Carrera 49D","3.4208114","-76.5616633"
"Calle 13 Oeste | Carrera 4A","Calle 13 Oeste","Carrera 4A","3.4445258","-76.5530622"
"Calle 13 Oeste | Carrera 50","Calle 13 Oeste","Carrera 50","3.4205366","-76.5617014"
"Calle 13 Oeste | Carrera 50A","Calle 13 Oeste","Carrera 50A","3.4200818","-76.5618011"
"Calle 13 Oeste | Carrera 50B","Calle 13 Oeste","Carrera 50B","3.4196261","-76.5617632"
"Calle 13 Oeste | Carrera 50C","Calle 13 Oeste","Carrera 50C","3.4193367","-76.5617815"
"Calle 13 Oeste | Carrera 50F","Calle 13 Oeste","Carrera 50F","3.4189196","-76.5619035"
"Calle 13 Oeste | Carrera 52","Calle 13 Oeste","Carrera 52","3.4179417","-76.5623648"
"Calle 13 Oeste | Carrera 52B","Calle 13 Oeste","Carrera 52B","3.4173047","-76.5624536"
"Calle 13 Oeste | Carrera 53","Calle 13 Oeste","Carrera 53","3.4202119","-76.5654776"
"Calle 13 Oeste | Carrera 53B","Calle 13 Oeste","Carrera 53B","3.4196876","-76.5662374"
"Calle 13 Oeste | Carrera 53D","Calle 13 Oeste","Carrera 53D","3.418896","-76.5663492"
"Calle 13 Oeste | Carrera 54","Calle 13 Oeste","Carrera 54","3.409704","-76.5650989"
"Calle 13 Oeste | Carrera 54B","Calle 13 Oeste","Carrera 54B","3.4155953","-76.5633688"
"Calle 13 Oeste | Carrera 54D","Calle 13 Oeste","Carrera 54D","3.4175099","-76.5669858"
"Calle 13 Oeste | Carrera 55","Calle 13 Oeste","Carrera 55","3.4094901","-76.5646103"
"Calle 13 Oeste | Carrera 56","Calle 13 Oeste","Carrera 56","3.4099065","-76.5656798"
"Calle 13 Oeste | Diagonal 48","Calle 13 Oeste","Diagonal 48","3.4150686","-76.5636802"
"Calle 13 Oeste | Diagonal 49 Oeste","Calle 13 Oeste","Diagonal 49 Oeste","3.4145546","-76.5635687"
"Calle 13 Oeste | Diagonal 49A Oeste","Calle 13 Oeste","Diagonal 49A Oeste","3.4140068","-76.5636494"
"Calle 13 Oeste | Diagonal 50 Oeste","Calle 13 Oeste","Diagonal 50 Oeste","3.4138881","-76.5636271"
"Calle 13 Oeste | Diagonal 51","Calle 13 Oeste","Diagonal 51","3.413052","-76.5632708"
"Calle 13 Oeste | Diagonal 52","Calle 13 Oeste","Diagonal 52","3.4126444","-76.5630877"
"Calle 13A | Carrera 10","Calle 13A","Carrera 10","3.4478674","-76.5290221"
"Calle 13A | Carrera 100","Calle 13A","Carrera 100","3.3700042","-76.5352805"
"Calle 13A | Carrera 101","Calle 13A","Carrera 101","3.3692238","-76.5356598"
"Calle 13A | Carrera 102","Calle 13A","Carrera 102","3.368524","-76.5360349"
"Calle 13A | Carrera 103","Calle 13A","Carrera 103","3.3675096","-76.5366722"
"Calle 13A | Carrera 105","Calle 13A","Carrera 105","3.3647054","-76.5365387"
"Calle 13A | Carrera 12","Calle 13A","Carrera 12","3.4457222","-76.5284154"
"Calle 13A | Carrera 12A","Calle 13A","Carrera 12A","3.4451927","-76.5282667"
"Calle 13A | Carrera 13","Calle 13A","Carrera 13","3.4446234","-76.5281098"
"Calle 13A | Carrera 13A","Calle 13A","Carrera 13A","3.4437491","-76.5278566"
"Calle 13A | Carrera 14","Calle 13A","Carrera 14","3.4433485","-76.5277258"
"Calle 13A | Carrera 15","Calle 13A","Carrera 15","3.4425663","-76.5276337"
"Calle 13A | Carrera 16","Calle 13A","Carrera 16","3.4418895","-76.5276522"
"Calle 13A | Carrera 16A","Calle 13A","Carrera 16A","3.3963013","-76.383546"
"Calle 13A | Carrera 17","Calle 13A","Carrera 17","3.4413187","-76.5276649"
"Calle 13A | Carrera 18","Calle 13A","Carrera 18","3.440694","-76.5276789"
"Calle 13A | Carrera 18A","Calle 13A","Carrera 18A","3.4399272","-76.5277016"
"Calle 13A | Carrera 19","Calle 13A","Carrera 19","3.4393407","-76.5277091"
"Calle 13A | Carrera 20E","Calle 13A","Carrera 20E","3.5491099","-76.4935039"
"Calle 13A | Carrera 21","Calle 13A","Carrera 21","3.4379797","-76.527678"
"Calle 13A | Carrera 21A","Calle 13A","Carrera 21A","3.5459619","-76.4925841"
"Calle 13A | Carrera 22","Calle 13A","Carrera 22","3.4374612","-76.5276404"
"Calle 13A | Carrera 22A","Calle 13A","Carrera 22A","3.436911","-76.5275809"
"Calle 13A | Carrera 22B","Calle 13A","Carrera 22B","3.4365539","-76.5275658"
"Calle 13A | Carrera 23","Calle 13A","Carrera 23","3.4360057","-76.5275439"
"Calle 13A | Carrera 23 Bis","Calle 13A","Carrera 23 Bis","3.4355444","-76.5274924"
"Calle 13A | Carrera 23C","Calle 13A","Carrera 23C","3.4340659","-76.5274372"
"Calle 13A | Carrera 23D","Calle 13A","Carrera 23D","3.433205","-76.5274014"
"Calle 13A | Carrera 36","Calle 13A","Carrera 36","3.421518","-76.5292024"
"Calle 13A | Carrera 36A","Calle 13A","Carrera 36A","3.4210899","-76.5293414"
"Calle 13A | Carrera 36B","Calle 13A","Carrera 36B","3.420681","-76.529474"
"Calle 13A | Carrera 37","Calle 13A","Carrera 37","3.4202621","-76.5296004"
"Calle 13A | Carrera 38","Calle 13A","Carrera 38","3.4199645","-76.5297066"
"Calle 13A | Carrera 38A","Calle 13A","Carrera 38A","3.4195527","-76.5298402"
"Calle 13A | Carrera 39","Calle 13A","Carrera 39","3.4189158","-76.5300015"
"Calle 13A | Carrera 40","Calle 13A","Carrera 40","3.4184816","-76.530146"
"Calle 13A | Carrera 40A","Calle 13A","Carrera 40A","3.4182404","-76.5302263"
"Calle 13A | Carrera 40A Bis","Calle 13A","Carrera 40A Bis","3.4179021","-76.5303389"
"Calle 13A | Carrera 40B","Calle 13A","Carrera 40B","3.4176084","-76.5304366"
"Calle 13A | Carrera 41","Calle 13A","Carrera 41","3.4171993","-76.5305729"
"Calle 13A | Carrera 41A","Calle 13A","Carrera 41A","3.4166649","-76.5307507"
"Calle 13A | Carrera 42","Calle 13A","Carrera 42","3.416254","-76.5308874"
"Calle 13A | Carrera 42A","Calle 13A","Carrera 42A","3.4158485","-76.5310225"
"Calle 13A | Carrera 43A","Calle 13A","Carrera 43A","3.4145242","-76.5314157"
"Calle 13A | Carrera 44","Calle 13A","Carrera 44","3.413976","-76.5315951"
"Calle 13A | Carrera 44A","Calle 13A","Carrera 44A","3.4134856","-76.531761"
"Calle 13A | Carrera 46","Calle 13A","Carrera 46","3.4126439","-76.5320459"
"Calle 13A | Carrera 46A","Calle 13A","Carrera 46A","3.4121753","-76.5322044"
"Calle 13A | Carrera 47","Calle 13A","Carrera 47","3.4116929","-76.532355"
"Calle 13A | Carrera 47A","Calle 13A","Carrera 47A","3.4112817","-76.5325068"
"Calle 13A | Carrera 48","Calle 13A","Carrera 48","3.4108457","-76.5326544"
"Calle 13A | Carrera 48A","Calle 13A","Carrera 48A","3.4101596","-76.5327028"
"Calle 13A | Carrera 49","Calle 13A","Carrera 49","3.409685","-76.5330367"
"Calle 13A | Carrera 49A","Calle 13A","Carrera 49A","3.40915","-76.5332181"
"Calle 13A | Carrera 50","Calle 13A","Carrera 50","3.4086806","-76.5333769"
"Calle 13A | Carrera 52","Calle 13A","Carrera 52","3.4074028","-76.5335581"
"Calle 13A | Carrera 58","Calle 13A","Carrera 58","3.4030542","-76.5356525"
"Calle 13A | Carrera 5B","Calle 13A","Carrera 5B","3.3989059","-76.3913924"
"Calle 13A | Carrera 64","Calle 13A","Carrera 64","3.4022832","-76.5358767"
"Calle 13A | Carrera 65","Calle 13A","Carrera 65","3.400399","-76.5360046"
"Calle 13A | Carrera 66","Calle 13A","Carrera 66","3.3980363","-76.536779"
"Calle 13A | Carrera 66B","Calle 13A","Carrera 66B","3.3970513","-76.5368468"
"Calle 13A | Carrera 68","Calle 13A","Carrera 68","3.3959499","-76.5370841"
"Calle 13A | Carrera 70","Calle 13A","Carrera 70","3.3934762","-76.5372954"
"Calle 13A | Carrera 72","Calle 13A","Carrera 72","3.3921374","-76.5373815"
"Calle 13A | Carrera 73","Calle 13A","Carrera 73","3.39125","-76.5377301"
"Calle 13A | Carrera 74","Calle 13A","Carrera 74","3.3907506","-76.5377726"
"Calle 13A | Carrera 75","Calle 13A","Carrera 75","3.3902087","-76.5378105"
"Calle 13A | Carrera 75A","Calle 13A","Carrera 75A","3.3896823","-76.5378293"
"Calle 13A | Carrera 76","Calle 13A","Carrera 76","3.3891133","-76.5379487"
"Calle 13A | Carrera 77","Calle 13A","Carrera 77","3.3886904","-76.5380058"
"Calle 13A | Carrera 80A","Calle 13A","Carrera 80A","3.3860554","-76.5374321"
"Calle 13A | Carrera 81","Calle 13A","Carrera 81","3.3843029","-76.5372093"
"Calle 13A | Carrera 83","Calle 13A","Carrera 83","3.3826386","-76.537382"
"Calle 13A | Carrera 85A","Calle 13A","Carrera 85A","3.3820918","-76.5370278"
"Calle 13A | Carrera 85C","Calle 13A","Carrera 85C","3.3809769","-76.5368672"
"Calle 13A | Carrera 86","Calle 13A","Carrera 86","3.380317","-76.536904"
"Calle 13A | Carrera 9","Calle 13A","Carrera 9","3.4485479","-76.5293822"
"Calle 13A 1 | Carrera 68","Calle 13A 1","Carrera 68","3.396018","-76.5360206"
"Calle 13A 1 | Carrera 70","Calle 13A 1","Carrera 70","3.3933973","-76.5362152"
"Calle 13A 1 | Carrera 72","Calle 13A 1","Carrera 72","3.3920526","-76.5363157"
"Calle 13A Bis | Carrera 80","Calle 13A Bis","Carrera 80","3.3870552","-76.5366235"
"Calle 13A Bis | Carrera 80A","Calle 13A Bis","Carrera 80A","3.386206","-76.5365271"
"Calle 13B | Carrera 17","Calle 13B","Carrera 17","3.4413087","-76.5270988"
"Calle 13B | Carrera 18","Calle 13B","Carrera 18","3.4406822","-76.5271136"
"Calle 13B | Carrera 18A","Calle 13B","Carrera 18A","3.4399071","-76.5271323"
"Calle 13B | Carrera 19","Calle 13B","Carrera 19","3.4393255","-76.5271457"
"Calle 13B | Carrera 20","Calle 13B","Carrera 20","3.4385858","-76.5271631"
"Calle 13B | Carrera 21","Calle 13B","Carrera 21","3.437962","-76.5271722"
"Calle 13B | Carrera 23 Bis","Calle 13B","Carrera 23 Bis","3.4355372","-76.5270835"
"Calle 13B | Carrera 23A","Calle 13B","Carrera 23A","3.4350907","-76.5270619"
"Calle 13B | Carrera 23B","Calle 13B","Carrera 23B","3.4345013","-76.5270336"
"Calle 13B | Carrera 23C","Calle 13B","Carrera 23C","3.4340572","-76.5270119"
"Calle 13B | Carrera 23D","Calle 13B","Carrera 23D","3.4331856","-76.5269698"
"Calle 13B | Carrera 36","Calle 13B","Carrera 36","3.4213704","-76.5288651"
"Calle 13B | Carrera 36A","Calle 13B","Carrera 36A","3.4209369","-76.5287778"
"Calle 13B | Carrera 36B","Calle 13B","Carrera 36B","3.420503","-76.5287565"
"Calle 13B | Carrera 37","Calle 13B","Carrera 37","3.4200525","-76.52874"
"Calle 13B | Carrera 39","Calle 13B","Carrera 39","3.4186656","-76.5292287"
"Calle 13B | Carrera 40A","Calle 13B","Carrera 40A","3.4177789","-76.5295076"
"Calle 13B | Carrera 40A Bis","Calle 13B","Carrera 40A Bis","3.4176645","-76.5295436"
"Calle 13B | Carrera 40B","Calle 13B","Carrera 40B","3.4173535","-76.5296415"
"Calle 13B | Carrera 41","Calle 13B","Carrera 41","3.4169453","-76.5297699"
"Calle 13B | Carrera 42A","Calle 13B","Carrera 42A","3.4155773","-76.5301839"
"Calle 13B | Carrera 42B","Calle 13B","Carrera 42B","3.4151297","-76.5303375"
"Calle 13B | Carrera 43","Calle 13B","Carrera 43","3.4146994","-76.5304853"
"Calle 13B | Carrera 43A","Calle 13B","Carrera 43A","3.4142689","-76.5306332"
"Calle 13B | Carrera 44","Calle 13B","Carrera 44","3.4138362","-76.530782"
"Calle 13B | Carrera 44A","Calle 13B","Carrera 44A","3.413225","-76.530995"
"Calle 13B | Carrera 45","Calle 13B","Carrera 45","3.4128269","-76.5311238"
"Calle 13B | Carrera 46","Calle 13B","Carrera 46","3.4123907","-76.5312648"
"Calle 13B | Carrera 46A","Calle 13B","Carrera 46A","3.4119245","-76.5314157"
"Calle 13B | Carrera 47","Calle 13B","Carrera 47","3.4114251","-76.5315652"
"Calle 13B | Carrera 47A","Calle 13B","Carrera 47A","3.4110228","-76.5317073"
"Calle 13B | Carrera 48","Calle 13B","Carrera 48","3.4105966","-76.5318452"
"Calle 13B | Carrera 48A","Calle 13B","Carrera 48A","3.4099436","-76.5320564"
"Calle 13B | Carrera 49","Calle 13B","Carrera 49","3.4094148","-76.5322275"
"Calle 13B | Carrera 49A","Calle 13B","Carrera 49A","3.4088813","-76.5324"
"Calle 13B | Carrera 5","Calle 13B","Carrera 5","3.3993156","-76.3915244"
"Calle 13B | Carrera 50","Calle 13B","Carrera 50","3.4084192","-76.5325496"
"Calle 13B | Carrera 51","Calle 13B","Carrera 51","3.4076878","-76.5329835"
"Calle 13B | Carrera 56","Calle 13B","Carrera 56","3.4046878","-76.5341821"
"Calle 13B | Carrera 57","Calle 13B","Carrera 57","3.4038533","-76.5344424"
"Calle 13B | Carrera 57A","Calle 13B","Carrera 57A","3.4033155","-76.5346102"
"Calle 13B | Carrera 58","Calle 13B","Carrera 58","3.4028901","-76.5351526"
"Calle 13B | Carrera 5B","Calle 13B","Carrera 5B","3.399237","-76.3913633"
"Calle 13B | Carrera 64","Calle 13B","Carrera 64","3.4024548","-76.5352501"
"Calle 13B | Carrera 65","Calle 13B","Carrera 65","3.4003852","-76.5348004"
"Calle 13B | Carrera 65A","Calle 13B","Carrera 65A","3.3999104","-76.5347992"
"Calle 13B | Carrera 65B","Calle 13B","Carrera 65B","3.3994004","-76.5348086"
"Calle 13B | Carrera 66","Calle 13B","Carrera 66","3.3980069","-76.5348999"
"Calle 13B | Carrera 66B","Calle 13B","Carrera 66B","3.3970126","-76.534985"
"Calle 13B | Carrera 68","Calle 13B","Carrera 68","3.3960818","-76.5350258"
"Calle 13B | Carrera 69","Calle 13B","Carrera 69","3.3944482","-76.5351968"
"Calle 13B | Carrera 70","Calle 13B","Carrera 70","3.3933312","-76.535311"
"Calle 13B | Carrera 72","Calle 13B","Carrera 72","3.3919163","-76.5354477"
"Calle 13B | Carrera 73","Calle 13B","Carrera 73","3.3911476","-76.5354928"
"Calle 13B | Carrera 74","Calle 13B","Carrera 74","3.3905903","-76.5355256"
"Calle 13B | Carrera 75","Calle 13B","Carrera 75","3.3900655","-76.5355564"
"Calle 13B | Carrera 75A","Calle 13B","Carrera 75A","3.389556","-76.5355857"
"Calle 13B | Carrera 77","Calle 13B","Carrera 77","3.3885495","-76.5356435"
"Calle 13B | Carrera 80","Calle 13B","Carrera 80","3.3871773","-76.5356869"
"Calle 13B | Carrera 80A","Calle 13B","Carrera 80A","3.3863288","-76.5355729"
"Calle 13B | Carrera 81","Calle 13B","Carrera 81","3.3850612","-76.5354027"
"Calle 13B | Carrera 83","Calle 13B","Carrera 83","3.384016","-76.5351206"
"Calle 13B | Carrera 84","Calle 13B","Carrera 84","3.3837746","-76.5349951"
"Calle 13B | Carrera 85","Calle 13B","Carrera 85","3.3827559","-76.5350706"
"Calle 13B | Carrera 85A","Calle 13B","Carrera 85A","3.3821915","-76.5351018"
"Calle 13B | Carrera 85B","Calle 13B","Carrera 85B","3.3816428","-76.535142"
"Calle 13B | Carrera 85C","Calle 13B","Carrera 85C","3.3810621","-76.535173"
"Calle 13B | Carrera 86","Calle 13B","Carrera 86","3.3802227","-76.5352444"
"Calle 13B | Diagonal 23","Calle 13B","Diagonal 23","3.4325727","-76.5269402"
"Calle 13B Oeste | Carrera 51","Calle 13B Oeste","Carrera 51","3.4190673","-76.5625417"
"Calle 13C | Carrera 41","Calle 13C","Carrera 41","3.4166696","-76.5288986"
"Calle 13C | Carrera 41A","Calle 13C","Carrera 41A","3.416231","-76.5290296"
"Calle 13C | Carrera 42","Calle 13C","Carrera 42","3.4157919","-76.5291662"
"Calle 13C | Carrera 42A","Calle 13C","Carrera 42A","3.4152977","-76.5293194"
"Calle 13C | Carrera 44A","Calle 13C","Carrera 44A","3.4129515","-76.5301401"
"Calle 13C | Carrera 45","Calle 13C","Carrera 45","3.4125621","-76.5302655"
"Calle 13C | Carrera 46","Calle 13C","Carrera 46","3.4121047","-76.5304092"
"Calle 13C | Carrera 46A","Calle 13C","Carrera 46A","3.4116431","-76.530558"
"Calle 13C | Carrera 47","Calle 13C","Carrera 47","3.4111316","-76.5306998"
"Calle 13C | Carrera 47A","Calle 13C","Carrera 47A","3.4107276","-76.5308366"
"Calle 13C | Carrera 48","Calle 13C","Carrera 48","3.410293","-76.5309586"
"Calle 13C | Carrera 48A","Calle 13C","Carrera 48A","3.409642","-76.5311734"
"Calle 13C | Carrera 49","Calle 13C","Carrera 49","3.4091155","-76.5313367"
"Calle 13C | Carrera 49A","Calle 13C","Carrera 49A","3.4085841","-76.5315017"
"Calle 13C | Carrera 50","Calle 13C","Carrera 50","3.4081323","-76.5316414"
"Calle 13C | Carrera 69","Calle 13C","Carrera 69","3.3944321","-76.5337753"
"Calle 13C | Carrera 70","Calle 13C","Carrera 70","3.39322","-76.5337876"
"Calle 13C | Carrera 72","Calle 13C","Carrera 72","3.3918004","-76.5337526"
"Calle 13C | Carrera 75","Calle 13C","Carrera 75","3.3899596","-76.5338868"
"Calle 13C | Carrera 79","Calle 13C","Carrera 79","3.3880867","-76.5340259"
"Calle 13C | Carrera 80","Calle 13C","Carrera 80","3.3874248","-76.5339315"
"Calle 13C | Carrera 81","Calle 13C","Carrera 81","3.386246","-76.5336704"
"Calle 13D | Carrera 35A","Calle 13D","Carrera 35A","3.4216859","-76.528442"
"Calle 13D | Carrera 36A","Calle 13D","Carrera 36A","3.4209585","-76.5284135"
"Calle 13D | Carrera 52","Calle 13D","Carrera 52","3.4070608","-76.5325829"
"Calle 13D | Carrera 53","Calle 13D","Carrera 53","3.4062076","-76.5328298"
"Calle 13D | Carrera 57","Calle 13D","Carrera 57","3.4036822","-76.5339093"
"Calle 13D | Carrera 64","Calle 13D","Carrera 64","3.4027327","-76.534235"
"Calle 13D | Carrera 65","Calle 13D","Carrera 65","3.4003776","-76.5337228"
"Calle 13D | Carrera 65A","Calle 13D","Carrera 65A","3.3998926","-76.5337293"
"Calle 13D | Carrera 65B","Calle 13D","Carrera 65B","3.3994008","-76.5337349"
"Calle 13D | Carrera 65C","Calle 13D","Carrera 65C","3.3991633","-76.5337349"
"Calle 13E | Carrera 35","Calle 13E","Carrera 35","3.4219108","-76.528056"
"Calle 13E | Carrera 36A","Calle 13E","Carrera 36A","3.4209815","-76.5280003"
"Calle 13E | Carrera 50","Calle 13E","Carrera 50","3.4079147","-76.5319149"
"Calle 13E | Carrera 51","Calle 13E","Carrera 51","3.4074099","-76.5320795"
"Calle 13E | Carrera 52","Calle 13E","Carrera 52","3.4069463","-76.5322307"
"Calle 13E | Carrera 53","Calle 13E","Carrera 53","3.4061005","-76.5325064"
"Calle 13E | Carrera 56","Calle 13E","Carrera 56","3.4043414","-76.5330837"
"Calle 13E | Carrera 56A","Calle 13E","Carrera 56A","3.4037965","-76.5332658"
"Calle 13E | Carrera 57","Calle 13E","Carrera 57","3.403506","-76.5333607"
"Calle 13E | Carrera 57A","Calle 13E","Carrera 57A","3.4032871","-76.5334372"
"Calle 13E | Carrera 64","Calle 13E","Carrera 64","3.4029142","-76.5335719"
"Calle 13E | Carrera 65C","Calle 13E","Carrera 65C","3.3990792","-76.5335377"
"Calle 13E | Carrera 66","Calle 13E","Carrera 66","3.3979902","-76.5337221"
"Calle 13E | Carrera 66B","Calle 13E","Carrera 66B","3.3969892","-76.533746"
"Calle 13E | Carrera 68","Calle 13E","Carrera 68","3.3961643","-76.5337379"
"Calle 13F | Carrera 52","Calle 13F","Carrera 52","3.406671","-76.531385"
"Calle 13F | Carrera 53","Calle 13F","Carrera 53","3.4058168","-76.5316499"
"Calle 13F | Carrera 54","Calle 13F","Carrera 54","3.4053875","-76.5322052"
"Calle 13F | Carrera 56","Calle 13F","Carrera 56","3.4042896","-76.5325786"
"Calle 13F | Carrera 56A","Calle 13F","Carrera 56A","3.4034995","-76.532403"
"Calle 13F | Carrera 57A","Calle 13F","Carrera 57A","3.4031206","-76.5328937"
"Calle 13F | Carrera 65","Calle 13F","Carrera 65","3.4003442","-76.5332726"
"Calle 13F | Carrera 65C","Calle 13F","Carrera 65C","3.3990742","-76.5332702"
"Calle 13G | Carrera 54","Calle 13G","Carrera 54","3.4051921","-76.5316289"
"Calle 13G | Carrera 56","Calle 13G","Carrera 56","3.4040901","-76.5319654"
"Calle 14 | Calle 15","Calle 14","Calle 15","3.3595577","-76.5381198"
"Calle 14 | Carrera 1","Calle 14","Carrera 1","3.4009842","-76.3941915"
"Calle 14 | Carrera 1 OESTE","Calle 14","Carrera 1 OESTE","3.4011473","-76.3945075"
"Calle 14 | Carrera 10","Calle 14","Carrera 10","3.4479189","-76.5283617"
"Calle 14 | Carrera 100","Calle 14","Carrera 100","3.3695882","-76.5344572"
"Calle 14 | Carrera 101","Calle 14","Carrera 101","3.3688271","-76.5348597"
"Calle 14 | Carrera 102","Calle 14","Carrera 102","3.3683958","-76.5350975"
"Calle 14 | Carrera 103","Calle 14","Carrera 103","3.3672327","-76.5353984"
"Calle 14 | Carrera 104","Calle 14","Carrera 104","3.3656175","-76.5356836"
"Calle 14 | Carrera 105","Calle 14","Carrera 105","3.3645835","-76.5358477"
"Calle 14 | Carrera 106","Calle 14","Carrera 106","3.3635724","-76.5360324"
"Calle 14 | Carrera 108","Calle 14","Carrera 108","3.3619721","-76.5372962"
"Calle 14 | Carrera 11","Calle 14","Carrera 11","3.4023488","-76.4167638"
"Calle 14 | Carrera 12","Calle 14","Carrera 12","3.4458003","-76.527631"
"Calle 14 | Carrera 12A","Calle 14","Carrera 12A","3.4452616","-76.527565"
"Calle 14 | Carrera 13","Calle 14","Carrera 13","3.444663","-76.5274774"
"Calle 14 | Carrera 13A","Calle 14","Carrera 13A","3.4439637","-76.5270472"
"Calle 14 | Carrera 14","Calle 14","Carrera 14","3.4441928","-76.5483286"
"Calle 14 | Carrera 15","Calle 14","Carrera 15","3.3970033","-76.3844873"
"Calle 14 | Carrera 16","Calle 14","Carrera 16","3.4419666","-76.5265421"
"Calle 14 | Carrera 16A","Calle 14","Carrera 16A","3.3965755","-76.3834135"
